Topic,Count,Name,Top_Words
0,2,0_make_work_one_use,"make, work, one, use, know, run, like, get, also, time"
1,0,1_know_one_get_use,"know, one, get, use, make, like, people, say, time, also"
2,9,2_people_time_say_think,"people, time, say, think, one, god, make, many, like, even"
3,6,3_get_know_also_time,"get, know, also, time, like, one, law, new, many, say"
4,3,4_know_well_get_work,"know, well, get, work, like, good, think, want, thing, say"
5,0,5_get_one_time_know,"get, one, time, know, also, well, year, like, think, thing"
6,0,6_one_say_people_make,"one, say, people, make, know, think, like, use, get, well"
7,1,7_use_know_get_one,"use, know, get, one, even, think, encryption, chip, people, clipper"
8,0,8_one_like_time_get,"one, like, time, get, know, make, new, use, much, well"
9,53,9_one_like_use_get,"one, like, use, get, please, well, think, make, may, know"
10,20,10_gun_use_time_one,"gun, use, time, one, get, government, know, make, people, even"
11,6,11_say_one_mean_use,"say, one, mean, use, may, get, think, like, make, know"
12,10,12_one_get_know_like,"one, get, know, like, well, good, think, make, say, time"
13,1,13_one_know_use_like,"one, know, use, like, get, work, make, also, well, need"
14,0,14_like_one_get_use,"like, one, get, use, know, think, time, make, well, say"
15,0,15_like_people_one_time,"like, people, one, time, make, say, get, know, well, right"
16,144,16_god_one_people_christ,"god, one, people, christ, know, bible, jesus, even, say, christian"
17,0,17_know_think_like_get,"know, think, like, get, also, back, want, work, say, thing"
18,0,18_time_get_well_also,"time, get, well, also, think, know, say, one, like, make"
19,1,19_make_one_get_people,"make, one, get, people, say, also, know, well, like, may"
20,0,20_say_god_people_make,"say, god, people, make, time, even, take, also, first, try"
21,14,21_spacecraft_orbit_space_mission,"spacecraft, orbit, space, mission, know, use, nasa, shuttle, also, one"
22,75,22_baseball_game_season_pitch,"baseball, game, season, pitch, team, win, year, lot, hit, like"
23,2,23_dos_do_use_work,"dos, do, use, work, please, one, program, window, run, like"
24,20,24_use_window_thanks_know,"use, window, thanks, know, like, get, want, one, help, need"
25,0,25_one_bunch_gun_get,"one, bunch, gun, get, know, people, use, think, like, time"
26,4,26_problem_like_use_think,"problem, like, use, think, one, know, well, also, get, please"
27,1,27_one_make_think_people,"one, make, think, people, like, time, well, get, even, say"
28,10,28_people_one_make_think,"people, one, make, think, say, year, use, like, time, first"
29,34,29_use_software_thanks_window,"use, software, thanks, window, run, like, find, know, get, one"
30,170,30_one_work_use_time,"one, work, use, time, well, like, thanks, software, know, get"
31,20,31_team_game_season_year,"team, game, season, year, player, think, well, baseball, win, last"
32,16,32_say_get_one_people,"say, get, one, people, like, think, legal, make, government, even"
33,1,33_war_people_like_also,"war, people, like, also, one, year, day, make, land, say"
34,1,34_one_know_say_think,"one, know, say, think, people, make, get, like, well, use"
35,0,35_people_one_know_say,"people, one, know, say, think, make, many, god, well, get"
36,0,36_know_one_get_like,"know, one, get, like, say, joke, time, good, well, people"
37,4,37_use_window_work_system,"use, window, work, system, get, thanks, run, know, one, problem"
38,0,38_price_sell_interested_like,"price, sell, interested, like, know, buy, ship, get, also, sale"
39,14,39_one_card_work_like,"one, card, work, like, get, know, try, well, use, video"
40,0,40_one_get_like_use,"one, get, like, use, think, know, time, say, faq, post"
41,2,41_use_people_like_know,"use, people, like, know, say, think, also, make, well, one"
42,31,42_get_please_time_want,"get, please, time, want, letter, thanks, know, one, say, like"
43,0,43_treatment_use_know_also,"treatment, use, know, also, disease, get, usually, much, people, patient"
44,0,44_use_work_modem_card,"use, work, modem, card, scsi, problem, also, like, internal, one"
45,0,45_well_say_one_think,"well, say, one, think, good, make, people, like, get, time"
46,1,46_know_like_say_people,"know, like, say, people, get, time, see, much, make, way"
47,1,47_thanks_one_car_use,"thanks, one, car, use, like, think, good, last, well, get"
48,9,48_get_one_also_well,"get, one, also, well, treatment, know, may, use, clinical, like"
49,1,49_one_think_know_like,"one, think, know, like, use, get, time, also, say, even"
50,4,50_use_one_people_time,"use, one, people, time, know, gun, like, get, say, law"
51,70,51_car_one_like_know,"car, one, like, know, engine, use, good, get, make, well"
52,1,52_one_sell_good_get,"one, sell, good, get, please, know, work, also, use, like"
53,3,53_thanks_please_get_one,"thanks, please, get, one, use, know, like, also, card, time"
54,0,54_thanks_please_get_one,"thanks, please, get, one, email, new, say, know, like, make"
55,0,55_like_use_know_one,"like, use, know, one, get, apple, also, problem, time, make"
56,2,56_bike_rear_get_use,"bike, rear, get, use, leave, one, like, seat, old, tire"
57,20,57_like_know_get_work,"like, know, get, work, use, one, thanks, think, sell, make"
58,1,58_like_know_make_get,"like, know, make, get, time, one, well, use, first, please"
59,0,59_one_get_senate_bill,"one, get, senate, bill, purchase, like, people, make, gun, handgun"
60,15,60_encryption_de_algorithm_secure,"encryption, de, algorithm, secure, nsa, use, secret, know, even, security"
61,2,61_one_get_time_like,"one, get, time, like, use, know, take, also, way, think"
62,18,62_time_get_one_like,"time, get, one, like, know, think, make, even, well, say"
63,10,63_homosexual_gay_sexual_people,"homosexual, gay, sexual, people, say, one, make, homosexuality, know, use"
64,2,64_one_know_please_get,"one, know, please, get, like, use, good, thanks, time, well"
65,0,65_god_one_jesus_say,"god, one, jesus, say, christ, know, think, even, believe, make"
66,3,66_know_think_time_please,"know, think, time, please, one, faq, make, sure, people, many"
67,15,67_one_also_like_student,"one, also, like, student, please, get, educational, well, time, use"
68,5,68_thanks_please_know_get,"thanks, please, know, get, like, mail, thank, well, try, email"
69,9,69_phone_get_want_use,"phone, get, want, use, tap, voice, see, modem, clipper, new"
70,5,70_get_one_year_well,"get, one, year, well, money, make, even, think, like, good"
71,0,71_know_one_well_people,"know, one, well, people, israel, kent, last, good, get, say"
72,12,72_turkish_year_armenian_war,"turkish, year, armenian, war, armenia, make, road, million, republic, also"
73,0,73_people_one_like_think,"people, one, like, think, say, get, know, well, time, make"
74,20,74_one_people_get_time,"one, people, get, time, fire, say, fbi, know, go, make"
75,7,75_think_people_know_may,"think, people, know, may, make, come, want, good, god, believe"
76,5,76_think_get_like_want,"think, get, like, want, use, one, know, well, see, good"
77,5,77_one_like_well_get,"one, like, well, get, use, know, think, good, make, thing"
78,0,78_use_drive_price_apple,"use, drive, price, apple, one, know, machine, work, meg, scsi"
79,5,79_science_thing_think_sense,"science, thing, think, sense, use, say, human, one, know, people"
80,5,80_card_work_one_use,"card, work, one, use, know, window, ram, like, machine, thanks"
81,0,81_like_get_use_time,"like, get, use, time, well, one, take, know, year, say"
82,0,82_game_get_one_good,"game, get, one, good, year, well, think, time, like, know"
83,1,83_one_people_say_make,"one, people, say, make, know, time, general, well, source, also"
84,0,84_one_make_get_like,"one, make, get, like, know, use, good, new, well, find"
85,7,85_team_canadian_game_get,"team, canadian, game, get, year, good, know, hockey, canada, think"
86,0,86_use_get_time_also,"use, get, time, also, know, one, make, well, like, say"
87,35,87_orbit_mission_astronomy_year,"orbit, mission, astronomy, year, new, also, one, know, use, earth"
88,0,88_use_know_thanks_also,"use, know, thanks, also, one, say, video, please, time, make"
89,2,89_war_israeli_also_government,"war, israeli, also, government, like, one, get, think, time, make"
90,9,90_one_like_make_think,"one, like, make, think, book, time, people, even, many, say"
91,8,91_get_like_ahead_one,"get, like, ahead, one, good, use, behind, look, ride, way"
92,9,92_eat_know_good_think,"eat, know, good, think, food, use, one, like, people, well"
93,43,93_israeli_say_one_israel,"israeli, say, one, israel, people, like, think, jewish, peace, way"
94,36,94_gun_get_one_people,"gun, get, one, people, use, handgun, say, way, time, make"
95,1,95_use_one_like_know,"use, one, like, know, get, think, well, also, good, work"
96,0,96_say_one_think_people,"say, one, think, people, know, like, make, get, even, time"
97,30,97_use_window_run_thanks,"use, window, run, thanks, work, get, like, file, one, know"
98,0,98_know_engine_get_car,"know, engine, get, car, one, like, work, use, year, new"
99,2,99_people_think_like_say,"people, think, like, say, one, know, well, use, make, may"
100,4,100_know_make_one_people,"know, make, one, people, say, well, good, get, time, even"
101,0,101_know_like_think_year,"know, like, think, year, make, get, people, much, time, say"
102,0,102_justice_one_right_time,"justice, one, right, time, like, life, say, know, well, get"
103,0,103_people_say_one_make,"people, say, one, make, think, however, mean, find, see, many"
104,5,104_algorithm_math_one_post,"algorithm, math, one, post, know, first, thanks, try, also, use"
105,11,105_space_shuttle_use_orbit,"space, shuttle, use, orbit, know, also, get, launch, mission, one"
106,6,106_one_god_say_life,"one, god, say, life, believe, people, thing, many, know, see"
107,0,107_people_one_use_make,"people, one, use, make, even, get, know, say, like, think"
108,0,108_say_use_time_know,"say, use, time, know, one, well, world, even, get, make"
109,0,109_one_people_say_know,"one, people, say, know, think, many, well, make, use, like"
110,17,110_know_people_get_treatment,"know, people, get, treatment, time, find, good, think, well, one"
111,0,111_get_know_network_time,"get, know, network, time, server, use, client, system, remote, one"
112,1,112_card_use_work_ram,"card, use, work, ram, scsi, thanks, one, problem, also, board"
113,8,113_nsa_key_encryption_clipper,"nsa, key, encryption, clipper, use, even, government, think, one, get"
114,2,114_like_good_people_one,"like, good, people, one, time, new, also, thing, make, think"
115,0,115_know_one_new_like,"know, one, new, like, well, use, car, also, price, good"
116,2,116_know_one_list_find,"know, one, list, find, people, also, post, copy, information, like"
117,1,117_one_like_think_well,"one, like, think, well, know, say, also, even, make, get"
118,0,118_like_use_one_sell,"like, use, one, sell, make, pay, get, know, time, send"
119,0,119_one_know_people_good,"one, know, people, good, say, make, think, god, time, like"
120,11,120_magazine_one_government_say,"magazine, one, government, say, time, also, article, number, news, like"
121,0,121_one_say_get_make,"one, say, get, make, know, like, well, think, time, much"
122,0,122_time_one_see_say,"time, one, see, say, make, get, like, thing, know, well"
123,6,123_use_like_graphic_one,"use, like, graphic, one, thanks, window, know, also, work, get"
124,4,124_use_one_also_thing,"use, one, also, thing, many, know, get, much, good, think"
125,1,125_think_one_son_also,"think, one, son, also, mother, get, say, child, use, know"
126,2,126_chip_work_one_use,"chip, work, one, use, get, know, need, board, also, data"
127,0,127_get_one_people_know,"get, one, people, know, time, thing, use, think, good, also"
128,0,128_file_know_get_run,"file, know, get, run, use, window, one, like, please, also"
129,1,129_car_use_know_one,"car, use, know, one, get, like, price, replace, drive, engine"
130,0,130_one_post_please_thanks,"one, post, please, thanks, group, know, get, time, think, people"
131,2,131_get_well_one_like,"get, well, one, like, good, people, time, think, make, watch"
132,0,132_get_one_say_people,"get, one, say, people, like, think, know, good, also, time"
133,17,133_gun_say_one_crime,"gun, say, one, crime, law, get, may, know, government, time"
134,1,134_one_clinton_get_year,"one, clinton, get, year, like, say, senate, well, time, know"
135,0,135_one_get_thing_make,"one, get, thing, make, want, use, think, like, know, back"
136,14,136_one_government_get_well,"one, government, get, well, time, also, like, house, congress, washington"
137,3,137_use_window_get_thanks,"use, window, get, thanks, help, like, work, know, one, run"
138,0,138_one_god_think_say,"one, god, think, say, good, people, make, know, time, well"
139,0,139_one_say_think_god,"one, say, think, god, time, get, make, know, like, thing"
140,0,140_use_one_please_good,"use, one, please, good, get, like, know, thanks, make, also"
141,0,141_know_one_year_guy,"know, one, year, guy, thanks, well, time, make, tom, say"
142,1,142_one_know_use_like,"one, know, use, like, make, get, also, well, time, much"
143,0,143_know_thanks_use_year,"know, thanks, use, year, work, make, help, one, get, like"
144,0,144_know_please_like_get,"know, please, like, get, also, available, new, contact, give, mail"
145,0,145_university_one_student_also,"university, one, student, also, please, use, new, software, well, email"
146,3,146_get_time_think_want,"get, time, think, want, like, people, good, well, say, please"
147,0,147_get_know_one_want,"get, know, one, want, make, use, please, also, well, time"
148,2,148_one_jesus_christ_mean,"one, jesus, christ, mean, biblical, god, people, bible, word, know"
149,0,149_work_get_please_like,"work, get, please, like, want, well, time, thing, know, try"
150,10,150_color_use_like_thanks,"color, use, like, thanks, also, card, problem, display, know, graphic"
151,1,151_one_say_god_know,"one, say, god, know, atheism, even, people, think, well, religion"
152,1,152_one_get_know_new,"one, get, know, new, well, use, like, time, say, good"
153,10,153_car_engine_like_know,"car, engine, like, know, use, get, one, also, think, problem"
154,1,154_money_give_get_well,"money, give, get, well, people, time, help, one, make, think"
155,0,155_say_one_know_make,"say, one, know, make, people, use, get, think, time, well"
156,0,156_one_say_think_know,"one, say, think, know, get, like, well, make, time, people"
157,2,157_use_get_one_time,"use, get, one, time, like, drive, well, know, work, disk"
158,4,158_new_get_good_know,"new, get, good, know, price, sell, one, time, company, sale"
159,39,159_apple_like_know_mac,"apple, like, know, mac, use, ram, one, think, get, problem"
160,8,160_also_use_one_good,"also, use, one, good, know, year, even, space, get, make"
